date,open,high,low,close,adj_close,volume
2013-04-18,50.9200,50.9200,50.9200,50.9200,43.5939,400
2013-04-19,50.9200,50.9200,50.9200,50.9200,43.5939,0
2013-04-22,50.9200,50.9200,50.9200,50.9200,43.5939,0
2013-04-23,52.2200,52.2200,52.2200,52.2200,44.7069,600
2013-04-24,51.7000,51.7000,51.5600,51.5600,44.1418,1100
2013-04-25,51.8100,51.8100,51.8100,51.8100,44.3559,400
2013-04-26,51.7700,51.7700,51.7700,51.7700,44.3216,100
2013-04-29,51.8500,52.2000,51.8500,52.0700,44.5784,4800
2013-04-30,51.6200,51.9300,51.6200,51.8400,44.3815,1400
2013-05-01,51.8000,51.8000,51.8000,51.8000,44.3473,100
2013-05-02,51.8200,52.0400,51.8200,52.0300,44.5442,2500
2013-05-03,52.6500,52.7300,52.6000,52.6200,45.0493,1000
2013-05-06,53.0600,53.0600,52.5000,52.5400,44.9809,19500
2013-05-07,52.5900,52.5900,52.5500,52.5600,44.9980,1500
2013-05-08,52.7400,52.8200,52.7400,52.8200,45.2206,1600
2013-05-09,52.8600,52.9100,52.7700,52.8300,45.2291,4700
2013-05-10,53.4900,53.4900,52.9500,52.9500,45.3318,700
2013-05-13,53.1900,53.2000,53.0900,53.0900,45.4517,4200
2013-05-14,53.3200,53.5600,53.3200,53.5500,45.8455,2200
2013-05-15,53.7400,54.0300,53.7100,53.7300,45.9996,3400
2013-05-16,53.5800,53.6200,53.5000,53.5000,45.8027,5700
2013-05-17,53.6000,53.6000,53.3700,53.3900,45.7085,2800
2013-05-20,53.4000,53.4000,53.3000,53.3200,45.6486,4300
2013-05-21,53.5400,53.5500,53.5400,53.5500,45.8455,600
2013-05-22,53.8800,53.8800,53.2600,53.2600,45.5973,1900
2013-05-23,52.6700,53.1400,52.6700,53.1400,45.4945,700
2013-05-24,53.1800,53.1800,53.1300,53.1700,45.5202,1200
2013-05-28,53.8100,53.8600,53.2600,53.4100,45.7257,4000
2013-05-29,53.0000,53.0000,52.6200,52.6900,45.1092,2500
2013-05-30,52.8900,52.9200,52.7300,52.7300,45.1435,13000
2013-05-31,52.5300,52.5400,52.0000,52.0000,44.5185,2400
2013-06-03,51.5000,51.7100,51.4400,51.7100,44.2703,2100
2013-06-04,51.6400,51.6800,51.2800,51.6800,44.2446,8400
2013-06-05,51.2600,51.2700,50.8100,50.9700,43.6367,5400
2013-06-06,50.6600,51.3500,50.6600,51.3500,43.9621,9900
2013-06-07,52.0100,52.2100,51.9100,52.2100,44.6983,1300
2013-06-10,53.0000,53.0000,52.0000,52.1100,44.6127,8500
2013-06-11,51.5900,52.1300,51.5900,51.8700,44.4072,14500
2013-06-12,52.1400,52.1400,51.3000,51.3300,43.9449,3400
2013-06-13,51.0200,51.9800,51.0200,51.9800,44.5014,2100
2013-06-14,52.1300,52.1300,52.0300,52.0300,44.5442,700
2013-06-17,52.5000,52.5000,52.1500,52.1500,44.6469,600
2013-06-18,52.4200,52.4200,52.3700,52.3700,44.8353,1000
2013-06-19,52.5000,52.5000,51.8700,51.8700,44.4072,1100
2013-06-20,51.1000,51.1000,50.1900,50.1900,42.9689,2300
2013-06-21,50.6200,50.6200,50.0500,50.4400,43.1830,1600
2013-06-24,50.0700,50.1200,49.7100,50.1200,42.9090,600
2013-06-25,50.5200,50.5700,50.5100,50.5700,43.2943,14600
2013-06-26,51.4900,51.4900,50.9800,51.0200,43.6795,1400
2013-06-27,51.4500,51.5000,51.3700,51.3700,44.1497,2500
2013-06-28,51.1400,51.4700,51.1400,51.3700,44.1497,2500
