date,open,high,low,close,adj_close,volume
1981-06-09,2.8750,3.0000,2.8750,2.8750,2.1569,27300
1981-06-10,2.8750,2.8750,2.7500,2.7500,2.0631,13700
1981-06-11,2.7500,2.8750,2.7500,2.7500,2.0631,12400
1981-06-12,2.8750,2.8750,2.8750,2.8750,2.1569,38700
1981-06-15,2.8750,2.8750,2.8750,2.8750,2.1569,38800
1981-06-16,2.8750,2.8750,2.7500,2.7500,2.0631,55100
1981-06-17,2.7500,2.8750,2.7500,2.7500,2.0631,29800
1981-06-18,2.8750,2.8750,2.8750,2.8750,2.1569,25100
1981-06-19,2.8750,2.8750,2.8750,2.8750,2.1569,8900
1981-06-22,2.8750,2.8750,2.7500,2.7500,2.0631,18000
1981-06-23,2.7500,2.8750,2.7500,2.7500,2.0631,171200
1981-06-24,2.7500,2.8750,2.7500,2.7500,2.0631,37300
1981-06-25,2.7500,2.8750,2.7500,2.7500,2.0631,12300
1981-06-26,2.7500,2.8750,2.7500,2.7500,2.0631,53900
1981-06-29,2.7500,2.7500,2.6250,2.6250,1.9693,13800
1981-06-30,2.6250,2.7500,2.6250,2.6250,1.9693,19700
1981-07-01,2.6250,2.7500,2.6250,2.6250,1.9693,17600
1981-07-02,2.6250,2.7500,2.6250,2.6250,1.9693,46100
1981-07-06,2.6250,2.7500,2.6250,2.6250,1.9693,7300
1981-07-07,2.6250,2.7500,2.5000,2.5000,1.8755,20100
1981-07-08,2.6250,2.7500,2.6250,2.6250,1.9693,19200
1981-07-09,2.6250,2.7500,2.6250,2.6250,1.9693,26500
1981-07-10,2.6250,2.7500,2.6250,2.6250,1.9693,10100
1981-07-13,2.6250,2.7500,2.6250,2.6250,1.9693,3900
1981-07-14,2.6250,2.6250,2.5000,2.5000,1.8755,13100
1981-07-15,2.5000,2.6250,2.5000,2.5000,1.8755,4900
1981-07-16,2.6250,2.7500,2.6250,2.6250,1.9693,64700
1981-07-17,2.7500,2.8750,2.7500,2.7500,2.0631,34600
1981-07-20,3.1250,3.2500,3.1250,3.1250,2.3444,102800
1981-07-21,3.1250,3.2500,3.1250,3.1250,2.3444,33500
1981-07-22,3.5000,3.6250,3.5000,3.5000,2.6257,77300
1981-07-23,3.6250,3.7500,3.6250,3.6250,2.7195,37800
1981-07-24,4.0000,4.1250,4.0000,4.0000,3.0008,48400
1981-07-27,4.3750,4.5000,4.3750,4.3750,3.2822,29500
1981-07-28,4.2500,4.2500,4.1250,4.1250,3.0946,52000
1981-07-29,4.1250,4.1250,4.0000,4.0000,3.0008,25800
1981-07-30,4.0000,4.0000,3.8750,3.8750,2.9071,14100
1981-07-31,3.8750,4.0000,3.8750,3.8750,2.9071,17200
1981-08-03,3.8750,3.8750,3.7500,3.7500,2.8133,19300
1981-08-04,3.6250,3.6250,3.5000,3.5000,2.6257,14400
1981-08-05,3.5000,3.6250,3.5000,3.5000,2.6257,4600
1981-08-06,3.5000,3.5000,3.3750,3.3750,2.5320,20100
1981-08-07,3.6250,3.7500,3.6250,3.6250,2.7195,64300
1981-08-10,3.6250,3.6250,3.6250,3.6250,2.7195,0
1981-08-11,3.7500,3.8750,3.7500,3.7500,2.8133,18800
1981-08-12,3.7500,3.8750,3.7500,3.7500,2.8133,6100
1981-08-13,3.7500,3.8750,3.6250,3.6250,2.7195,11800
1981-08-14,3.6250,3.7500,3.6250,3.6250,2.7195,4900
1981-08-17,3.6250,3.6250,3.5000,3.5000,2.6257,14300
1981-08-18,3.5000,3.6250,3.3750,3.3750,2.5320,5500
1981-08-19,3.3750,3.5000,3.3750,3.3750,2.5320,3600
1981-08-20,3.3750,3.5000,3.3125,3.3125,2.4851,15500
1981-08-21,3.3125,3.5000,3.3125,3.3125,2.4851,6600
1981-08-24,3.3125,3.3750,3.1250,3.1250,2.3444,17100
1981-08-25,3.1250,3.1250,3.0000,3.0000,2.2506,18700
1981-08-26,3.0625,3.1250,3.0625,3.0625,2.2975,7700
1981-08-27,3.0625,3.1250,3.0625,3.0625,2.2975,9600
1981-08-28,3.0625,3.1250,3.0000,3.0000,2.2506,9400
1981-08-31,3.0000,3.0000,2.8750,2.8750,2.1569,17500
1981-09-01,2.9375,3.0625,2.9375,2.9375,2.2037,31700
1981-09-02,2.9375,3.0000,2.8750,2.8750,2.1569,1400
1981-09-03,2.8750,2.9375,2.6875,2.6875,2.0162,11000
