date,open,high,low,close,adj_close,volume
2003-05-01,25.2500,25.5875,25.1675,25.4950,17.8376,157200
2003-05-02,25.4675,25.9700,25.4675,25.9700,18.1700,61200
2003-05-05,26.0200,26.1375,25.9350,26.0250,18.2085,140000
2003-05-06,26.0500,26.3525,26.0500,26.2325,18.3536,30000
2003-05-07,26.0750,26.3175,26.0000,26.1300,18.2819,20800
2003-05-08,25.8900,26.0200,25.8375,25.8475,18.0843,92800
2003-05-09,26.0500,26.2725,25.9350,26.2125,18.3397,28800
2003-05-12,26.2500,26.7200,26.2125,26.7000,18.6807,36800
2003-05-13,26.6250,26.7625,26.5550,26.6375,18.6370,16800
2003-05-14,26.6800,26.7000,26.5750,26.7000,18.6807,35600
2003-05-15,26.9000,26.9775,26.7575,26.9775,18.8749,41600
2003-05-16,26.9175,27.0250,26.7425,27.0250,18.9081,44800
2003-05-19,26.9125,26.9125,26.3225,26.3225,18.4166,38800
2003-05-20,26.4625,26.4950,26.0825,26.2900,18.3939,224400
2003-05-21,26.2250,26.3950,26.1125,26.3950,18.4673,617600
2003-05-22,26.4625,26.8100,26.4625,26.7700,18.7297,17200
2003-05-23,26.7250,26.9300,26.6950,26.9200,18.8347,124800
2003-05-27,26.8500,27.5025,26.8500,27.5000,19.2405,28800
2003-05-28,27.5700,27.6775,27.4450,27.5725,19.2912,136000
2003-05-29,27.6325,27.8225,27.4200,27.4750,19.2230,92000
2003-05-30,27.6750,28.0125,27.6700,28.0125,19.5990,19600
2003-06-02,28.2750,28.4850,28.1675,28.1675,19.7075,49200
2003-06-03,28.1125,28.2375,28.0325,28.1575,19.7005,129200
2003-06-04,28.1625,28.7575,28.1625,28.7475,20.1133,144400
2003-06-05,28.5725,28.9500,28.5725,28.9500,20.2549,31200
2003-06-06,29.2375,29.5450,28.8000,28.8000,20.1500,57200
2003-06-09,28.6000,28.6400,28.2875,28.3325,19.8229,104000
2003-06-10,28.5500,28.5750,28.3675,28.5375,19.9663,70400
2003-06-11,28.5000,29.0275,28.5000,29.0275,20.3092,88800
2003-06-12,29.2125,29.2125,28.9525,29.1475,20.3931,54400
2003-06-13,29.1375,29.1375,28.6150,28.7000,20.0800,155600
2003-06-16,28.8750,29.2800,28.8200,29.2800,20.4858,63200
2003-06-17,29.3625,29.3625,29.1500,29.3325,20.5226,34800
2003-06-18,29.2000,29.3625,29.0875,29.1950,20.4264,29200
2003-06-19,29.2750,29.3375,28.8050,28.8150,20.1605,62400
2003-06-20,28.9500,29.1250,28.7775,28.7875,20.1413,78000
2003-06-23,28.4375,28.4375,28.2500,28.3825,19.8579,32000
2003-06-24,28.3000,28.4000,28.1125,28.3000,19.8002,109200
2003-06-25,28.3875,28.5200,28.1500,28.1500,19.6952,36800
2003-06-26,28.1375,28.4375,28.1175,28.3925,19.8649,70000
2003-06-27,28.5025,28.5125,28.2250,28.2350,19.7547,22400
2003-06-30,28.4625,28.4625,28.1625,28.2550,19.7687,53600
2003-07-01,28.1625,28.3750,27.8175,28.3500,19.8352,62400
2003-07-02,28.3750,28.7100,28.3750,28.7100,20.0870,117600
2003-07-03,28.5725,28.7600,28.3950,28.5525,19.9768,25200
2003-07-07,28.8750,29.0950,28.8750,29.0325,20.3127,47600
2003-07-08,29.0500,29.3025,28.9625,29.3025,20.5016,48800
2003-07-09,29.1875,29.3775,29.1300,29.3200,20.5138,21600
2003-07-10,29.0625,29.0625,28.6450,28.7725,20.1308,24800
2003-07-11,28.9125,29.0375,28.8700,28.9475,20.2532,17200
2003-07-14,29.2800,29.4525,29.2525,29.3700,20.5488,28800
2003-07-15,29.3125,29.3125,28.9675,29.0000,20.2899,98000
2003-07-16,29.0875,29.0875,28.6550,28.7475,20.1133,27200
2003-07-17,28.6425,28.6425,28.3250,28.3250,19.8177,14800
2003-07-18,28.3875,28.7475,28.3875,28.7100,20.0870,22800
2003-07-21,28.4075,28.4075,28.3250,28.3350,19.8247,70800
2003-07-22,28.3250,28.7000,28.3250,28.6900,20.0730,26800
2003-07-23,28.7250,28.7250,28.4550,28.4550,19.9086,22400
2003-07-24,28.9125,29.0075,28.5750,28.5750,19.9926,16400
2003-07-25,28.7125,29.0125,28.6900,29.0125,20.2987,10000
2003-07-28,29.1500,29.1500,29.0325,29.0700,20.3389,15200
2003-07-29,29.0850,29.0850,28.7150,28.8500,20.1850,14800
2003-07-30,28.8275,28.9425,28.7900,28.7900,20.1430,24800
2003-07-31,28.9125,29.2900,28.9125,28.9200,20.2340,126000
2003-08-01,28.6925,28.7650,28.6200,28.7350,20.1045,48000
2003-08-04,28.6975,28.7550,28.3250,28.6850,20.0695,39600
2003-08-05,28.6625,28.6625,28.1650,28.1650,19.7057,42400
2003-08-06,28.1125,28.3650,28.0450,28.2375,19.7564,24800
2003-08-07,28.2000,28.3700,28.1975,28.3350,19.8247,25600
2003-08-08,28.4575,28.4825,28.3550,28.4400,19.8981,62800
2003-08-11,28.5600,28.6575,28.3700,28.5550,19.9786,16400
2003-08-12,28.5550,28.8475,28.5550,28.8275,20.1692,64400
2003-08-13,28.9875,28.9875,28.7625,28.7750,20.1325,48400
2003-08-14,28.9100,29.1000,28.8625,29.0775,20.3441,34400
2003-08-15,29.1400,29.1400,29.1400,29.1400,20.3879,4400
2003-08-18,29.2000,29.4750,29.2000,29.4750,20.6223,74800
2003-08-19,29.5500,29.6600,29.4250,29.6600,20.7517,67200
2003-08-20,29.5250,29.7475,29.5000,29.6725,20.7604,50800
2003-08-21,29.8325,30.0075,29.7375,29.9175,20.9319,121200
2003-08-22,30.1500,30.1550,29.5875,29.5875,20.7010,108400
2003-08-25,29.5500,29.5500,29.4275,29.5300,20.6607,42400
2003-08-26,29.5000,29.6425,29.2050,29.6425,20.7395,18000
2003-08-27,29.5750,29.7375,29.5750,29.7375,20.8059,14400
2003-08-28,29.8000,29.9925,29.5925,29.9925,20.9843,9200
2003-08-29,29.8250,30.2350,29.8250,30.1675,21.1068,125200
2003-09-02,30.3625,30.6300,30.1775,30.6100,21.4164,55600
2003-09-03,30.6250,30.8125,30.6250,30.6875,21.4706,279600
2003-09-04,30.6750,30.7450,30.5700,30.7125,21.4881,18800
2003-09-05,30.5650,30.7525,30.4750,30.5900,21.4024,37600
2003-09-08,30.6450,30.8550,30.6450,30.8375,21.5755,34400
2003-09-09,30.7875,30.7875,30.5375,30.5700,21.3884,35600
2003-09-10,30.3350,30.3675,30.0075,30.0250,21.0071,160000
2003-09-11,30.1875,30.3250,30.0650,30.2325,21.1523,106800
2003-09-12,30.1700,30.3575,29.9675,30.3175,21.2117,293600
2003-09-15,30.3625,30.3625,29.9250,30.2325,21.1523,420800
2003-09-16,30.3650,30.6625,30.3325,30.6625,21.4531,65600
2003-09-17,30.6750,30.7250,30.5875,30.6000,21.4094,76000
2003-09-18,30.6125,30.9900,30.5650,30.9625,21.6630,99200
2003-09-19,30.7500,30.8375,30.6550,30.8025,21.6590,77200
2003-09-22,30.3750,30.4700,30.3000,30.3850,21.3654,30800
2003-09-23,30.4200,30.6075,30.4200,30.6075,21.5218,29200
2003-09-24,30.6075,30.6075,30.0750,30.1050,21.1685,84800
2003-09-25,30.1250,30.1250,29.7700,29.7700,20.9330,156000
2003-09-26,29.6500,29.6750,29.5000,29.5300,20.7642,41600
2003-09-29,29.6250,29.7150,29.4825,29.7100,20.8908,20000
2003-09-30,29.6950,29.6950,29.3400,29.5725,20.7941,32000
2003-10-01,29.6500,30.0950,29.6500,30.0950,21.1615,10800
2003-10-02,30.2600,30.2675,30.1325,30.2500,21.2705,21600
2003-10-03,30.7625,30.8950,30.5950,30.6050,21.5201,181200
2003-10-06,30.7175,30.8250,30.6300,30.7925,21.6519,52400
2003-10-07,30.6500,30.9425,30.5700,30.9425,21.7574,35200
2003-10-08,30.9625,30.9900,30.7925,30.8575,21.6976,64000
2003-10-09,31.2000,31.3425,30.9725,31.0500,21.8330,73200
2003-10-10,31.1000,31.1175,30.9725,31.0250,21.8154,88800
2003-10-13,31.2275,31.4275,31.2275,31.3375,22.0351,82800
2003-10-14,31.2875,31.4550,31.2200,31.4500,22.1142,89200
2003-10-15,31.5750,31.5875,31.2725,31.3575,22.0492,54400
2003-10-16,31.2625,31.5125,31.2625,31.4075,22.0844,77200
2003-10-17,31.2925,31.2925,31.0000,31.0350,21.8224,124000
2003-10-20,31.1125,31.1500,30.9825,31.1500,21.9033,58800
2003-10-21,31.2000,31.2850,31.1375,31.2075,21.9437,76000
2003-10-22,30.9500,30.9525,30.7200,30.7500,21.6220,93200
2003-10-23,30.6125,30.8375,30.5425,30.7750,21.6396,88400
2003-10-24,30.5875,30.6475,30.3750,30.6250,21.5342,201600
2003-10-27,30.9125,31.0000,30.8250,30.8250,21.6748,63200
2003-10-28,31.0375,31.3375,31.0000,31.3375,22.0351,79600
2003-10-29,31.2875,31.4750,31.2800,31.4575,22.1195,65200
2003-10-30,31.6750,31.6750,31.4000,31.6125,22.2285,378400
2003-10-31,31.6625,31.7000,31.5300,31.6200,22.2338,76400
2003-11-03,31.7825,31.9575,31.6875,31.8900,22.4236,90000
2003-11-04,31.8325,31.9275,31.7325,31.7500,22.3252,149600
2003-11-05,31.6500,31.8225,31.5600,31.7950,22.3568,66800
2003-11-06,31.8250,31.9875,31.6725,31.9875,22.4922,158000
2003-11-07,32.0875,32.1750,31.9300,31.9350,22.4553,217200
2003-11-10,31.9050,31.9050,31.6050,31.6050,22.2232,40800
2003-11-11,31.6600,31.6600,31.5025,31.5975,22.2180,125200
2003-11-12,31.6875,32.0400,31.6875,32.0400,22.5291,88800
2003-11-13,32.0250,32.1125,31.9275,32.1125,22.5801,53200
2003-11-14,32.1450,32.2625,31.7500,31.7875,22.3516,70000
2003-11-17,31.7375,31.7500,31.2750,31.4825,22.1371,182400
2003-11-18,31.5825,31.6650,31.1650,31.1650,21.9139,102000
2003-11-19,31.2000,31.3525,31.1800,31.3525,22.0457,30800
2003-11-20,31.1500,31.4825,31.1075,31.1375,21.8945,90000
2003-11-21,31.2750,31.3050,31.1100,31.2725,21.9894,76400
2003-11-24,31.5250,31.8625,31.5250,31.8625,22.4043,88000
2003-11-25,31.8625,32.1600,31.8450,32.0650,22.5467,134000
2003-11-26,32.1450,32.2100,31.9200,32.2075,22.6469,82000
2003-11-28,32.2625,32.3300,32.2375,32.2875,22.7031,71200
2003-12-01,32.3750,32.6800,32.3750,32.6700,22.9721,73200
2003-12-02,32.6500,32.6900,32.5425,32.5500,22.8877,134800
2003-12-03,32.7375,32.7925,32.5075,32.5125,22.8613,94400
2003-12-04,32.5625,32.5850,32.3550,32.4900,22.8455,46800
2003-12-05,32.4375,32.5075,32.2500,32.2625,22.6856,44400
2003-12-08,32.3500,32.5000,32.2575,32.5000,22.8526,54000
2003-12-09,32.5625,32.5625,32.1875,32.2100,22.6486,35600
2003-12-10,32.2500,32.2500,31.8925,31.9600,22.4729,39200
2003-12-11,32.0875,32.5800,32.0875,32.5250,22.8701,42800
2003-12-12,32.4875,32.6600,32.4000,32.6500,22.9580,33600
2003-12-15,33.0250,33.0250,32.3875,32.3875,22.7735,233600
2003-12-16,32.4625,32.5425,32.2525,32.4950,22.8491,52800
2003-12-17,32.5000,32.5925,32.4050,32.5925,22.9176,53200
2003-12-18,32.6675,33.1075,32.6675,33.0700,23.2534,40400
2003-12-19,33.0625,33.0625,32.8600,33.0075,23.2763,77200
2003-12-22,32.9250,33.1425,32.9250,33.1425,23.3715,22400
2003-12-23,33.2375,33.3600,33.2275,33.3600,23.5249,126000
2003-12-24,33.3250,33.3450,33.2400,33.2975,23.4808,70400
2003-12-26,33.3875,33.4600,33.3650,33.3775,23.5372,25200
2003-12-29,33.5450,33.7750,33.4875,33.7750,23.8175,70800
2003-12-30,33.8125,33.8200,33.7125,33.8200,23.8492,85600
2003-12-31,33.8750,33.9050,33.7225,33.8625,23.8792,90800
2004-01-02,34.0000,34.0200,33.6125,33.7025,23.7664,61600
2004-01-05,33.7375,34.1250,33.7375,34.1250,24.0643,105200
2004-01-06,34.1000,34.2250,34.0250,34.1950,24.1137,138000
2004-01-07,34.1700,34.2350,33.9500,34.2150,24.1278,97600
2004-01-08,34.4250,34.4750,34.2800,34.4750,24.3111,47600
2004-01-09,34.2700,34.5850,34.2250,34.2925,24.1824,80000
2004-01-12,34.3750,34.5000,34.2650,34.5000,24.3288,32800
2004-01-13,34.5600,34.5600,34.1500,34.3100,24.1948,50000
2004-01-14,34.4625,34.6325,34.4375,34.6200,24.4134,139600
2004-01-15,34.7050,34.8400,34.4450,34.7150,24.4804,95600
2004-01-16,34.9150,35.0375,34.8600,35.0375,24.7078,81200
2004-01-20,35.1500,35.1700,34.9350,35.1075,24.7572,64400
2004-01-21,35.0875,35.3425,34.9300,35.2575,24.8629,137600
2004-01-22,35.4000,35.4050,35.1225,35.1225,24.7677,87600
2004-01-23,35.1750,35.3000,34.9375,35.0375,24.7078,58000
2004-01-26,35.0750,35.3500,34.9700,35.3500,24.9282,28000
2004-01-27,35.3000,35.3700,35.0675,35.0775,24.7360,106000
2004-01-28,35.2250,35.2250,34.5375,34.6125,24.4081,175600
2004-01-29,34.7400,34.7875,34.2325,34.6200,24.4134,82400
2004-01-30,34.6375,34.6900,34.4950,34.6650,24.4451,26800
2004-02-02,34.7250,34.9375,34.5225,34.7025,24.4716,114000
2004-02-03,34.6875,34.7800,34.6375,34.7125,24.4786,22800
2004-02-04,34.5250,34.5300,34.2550,34.3425,24.2177,196400
2004-02-05,34.3500,34.5275,34.3225,34.4350,24.2829,61200
2004-02-06,34.5850,34.9650,34.4950,34.9575,24.6514,64000
2004-02-09,35.0625,35.1250,34.9625,34.9875,24.6725,271600
2004-02-10,34.9875,35.1750,34.9875,35.1425,24.7818,32800
2004-02-11,35.1750,35.6000,35.0875,35.5675,25.0816,254800
2004-02-12,35.5625,35.6350,35.4625,35.4625,25.0075,261600
2004-02-13,35.5050,35.5050,35.1150,35.2250,24.8400,93200
2004-02-17,35.5000,35.6650,35.4650,35.6175,25.1168,133600
2004-02-18,35.6500,35.6500,35.4200,35.4925,25.0287,54000
2004-02-19,35.7250,35.7250,35.2725,35.2725,24.8735,51600
2004-02-20,35.4000,35.4000,34.9250,35.1225,24.7677,144400
2004-02-23,35.2375,35.2375,34.8200,34.9000,24.6108,59200
2004-02-24,34.8750,34.9725,34.6750,34.8075,24.5456,178000
2004-02-25,34.9125,35.0775,34.8200,35.0575,24.7219,90000
2004-02-26,35.0250,35.2250,34.8950,35.2050,24.8259,92800
2004-02-27,35.2000,35.4600,35.1650,35.3250,24.9105,127200
2004-03-01,35.5000,35.7925,35.4725,35.7675,25.2226,80000
2004-03-02,35.7500,35.7850,35.5825,35.6250,25.1221,72000
2004-03-03,35.5750,35.6600,35.3575,35.6400,25.1327,22800
2004-03-04,35.6875,35.7750,35.5750,35.7750,25.2279,66000
2004-03-05,35.6625,36.0400,35.6225,35.9100,25.3231,55600
2004-03-08,35.9250,35.9350,35.5000,35.5000,25.0339,92800
2004-03-09,35.5375,35.5375,35.1125,35.2125,24.8312,56400
2004-03-10,35.2300,35.2300,34.5625,34.6675,24.4469,164400
2004-03-11,34.3750,34.6975,34.0625,34.0900,24.0396,352800
2004-03-12,34.2875,34.6025,34.2800,34.6000,24.3993,113600
2004-03-15,34.4750,34.5000,34.0625,34.0625,24.0202,182000
2004-03-16,34.2750,34.3500,33.9600,34.2325,24.1401,129600
2004-03-17,34.4975,34.8200,34.4625,34.7625,24.5139,81200
2004-03-18,34.7125,34.7750,34.3825,34.7500,24.5051,157600
2004-03-19,34.6625,34.6625,34.3500,34.3500,24.2813,60800
2004-03-22,34.2375,34.2375,33.6650,33.7950,23.8890,217200
2004-03-23,33.9875,34.0325,33.6975,33.7975,23.8908,214000
2004-03-24,33.8375,33.9050,33.5875,33.7050,23.8254,90000
2004-03-25,33.9500,34.3375,33.8850,34.2750,24.2283,88800
2004-03-26,34.2750,34.4650,34.2725,34.3450,24.2778,30000
2004-03-29,34.5375,34.8075,34.5375,34.6800,24.5146,111200
2004-03-30,34.6800,34.9825,34.6800,34.9450,24.7019,133200
2004-03-31,34.9400,35.1075,34.8100,35.0000,24.7408,81600
2004-04-01,35.1000,35.2975,35.0775,35.2150,24.8928,79600
2004-04-02,35.6750,35.6750,35.4025,35.6125,25.1738,536000
2004-04-05,35.6000,35.8200,35.5500,35.8200,25.3204,108400
2004-04-06,35.6625,35.7475,35.6075,35.7475,25.2692,52400
2004-04-07,35.6875,35.7100,35.4250,35.5625,25.1384,56400
2004-04-08,35.8125,35.8200,35.4025,35.5250,25.1119,33200
2004-04-12,35.5500,35.7525,35.5500,35.6400,25.1932,35200
2004-04-13,35.7000,35.7100,35.0250,35.0950,24.8080,30000
2004-04-14,34.9125,35.1450,34.8400,34.8750,24.6524,43200
2004-04-15,35.0500,35.1825,34.7500,34.9475,24.7037,30400
2004-04-16,35.0500,35.1900,34.8750,35.1750,24.8645,38800
2004-04-19,35.1500,35.1775,34.9600,35.1750,24.8645,36400
2004-04-20,35.2375,35.3150,34.6600,34.6600,24.5005,90800
2004-04-21,34.6250,34.9025,34.5575,34.8750,24.6524,128400
2004-04-22,34.8750,35.5800,34.8750,35.5350,25.1190,92000
2004-04-23,35.5250,35.5250,35.2425,35.4450,25.0554,64400
2004-04-26,35.5250,35.5975,35.2000,35.2100,24.8892,104400
2004-04-27,35.3250,35.6100,35.2650,35.2650,24.9281,25600
2004-04-28,35.1250,35.1250,34.7250,34.7375,24.5552,98000
2004-04-29,34.6975,34.8500,34.1375,34.3375,24.2725,307600
2004-04-30,34.3875,34.4775,34.0775,34.1750,24.1576,62800
2004-05-03,34.1500,34.4400,34.1375,34.4000,24.3167,59600
2004-05-04,34.4500,34.7525,34.3300,34.5000,24.3874,68800
2004-05-05,34.4875,34.6675,34.4875,34.6025,24.4598,53200
2004-05-06,34.4375,34.4375,34.0675,34.2625,24.2195,124400
2004-05-07,34.2500,34.3000,33.6450,33.6525,23.7883,338800
2004-05-10,33.3250,33.4050,32.9600,33.1500,23.4331,351600
2004-05-11,33.4175,33.5500,33.3750,33.5250,23.6982,423600
2004-05-12,33.4000,33.5575,32.9075,33.5400,23.7088,192800
2004-05-13,33.5625,33.7875,33.4300,33.6650,23.7971,101200
2004-05-14,33.6250,33.7675,33.3475,33.5825,23.7388,178000
2004-05-17,33.1350,33.3050,33.0025,33.1600,23.4401,81200
2004-05-18,33.4750,33.5050,33.3800,33.4825,23.6681,44800
2004-05-19,33.7625,33.9925,33.4075,33.4150,23.6204,306800
2004-05-20,33.3750,33.5075,33.3350,33.4625,23.6540,32800
2004-05-21,33.6125,33.7350,33.4825,33.5400,23.7088,100400
2004-05-24,33.8750,33.9300,33.6425,33.8125,23.9014,96400
2004-05-25,33.6400,34.4200,33.6275,34.4200,24.3308,218800
2004-05-26,34.3750,34.5425,34.3200,34.4875,24.3785,362400
2004-05-27,34.7000,34.8275,34.5150,34.6550,24.4969,404000
2004-05-28,34.6250,34.7750,34.6075,34.7725,24.5800,106000
2004-06-01,34.6500,34.8000,34.5475,34.7325,24.5517,114000
2004-06-02,34.8975,34.9350,34.6625,34.8500,24.6348,154800
2004-06-03,34.7125,34.7625,34.5000,34.5000,24.3874,81200
2004-06-04,34.7750,34.8750,34.6575,34.7150,24.5393,177200
2004-06-07,34.9675,35.3750,34.9150,35.3750,25.0059,265200
2004-06-08,35.3125,35.3900,35.1750,35.3600,24.9953,262800
2004-06-09,35.3250,35.3400,34.9825,34.9850,24.7302,251600
2004-06-10,35.1625,35.2025,35.0600,35.1350,24.8362,128800
2004-06-14,35.0125,35.0150,34.6450,34.7250,24.5464,189200
2004-06-15,35.0125,35.1725,34.9225,35.0175,24.7532,91600
2004-06-16,35.0500,35.1275,34.9625,35.0925,24.8062,111200
2004-06-17,35.0300,35.0775,34.8650,35.0625,24.7850,120800
2004-06-18,34.9250,35.1925,34.9250,35.0650,24.8500,60400
2004-06-21,35.1125,35.1675,34.9250,34.9625,24.7774,82000
2004-06-22,34.9625,35.2050,34.8450,35.1625,24.9191,103200
2004-06-23,35.2250,35.6225,35.1600,35.5925,25.2238,74800
2004-06-24,35.5575,35.7000,35.3100,35.5075,25.1636,168000
2004-06-25,35.5575,35.7125,35.4500,35.5375,25.1849,81600
2004-06-28,35.7100,35.7250,35.2500,35.4050,25.0910,390400
2004-06-29,35.4375,35.5425,35.3825,35.4950,25.1547,333600
2004-06-30,35.6000,35.7725,35.4400,35.7375,25.3266,417600
2004-07-01,35.7250,35.7575,35.1150,35.2500,24.9811,104400
2004-07-02,35.2250,35.2250,35.0150,35.1300,24.8961,85200
2004-07-06,34.9750,34.9750,34.6700,34.7300,24.6126,291600
2004-07-07,34.8250,34.8750,34.7125,34.7850,24.6516,140800
2004-07-08,34.6750,34.7150,34.4000,34.4075,24.3841,177200
2004-07-09,34.6000,34.6000,34.4575,34.5150,24.4602,72000
2004-07-12,34.5250,34.5675,34.2750,34.4750,24.4319,110800
