date,open,high,low,close,adj_close,volume
2011-05-05,24.0800,24.4400,24.0800,24.1800,20.3613,86200
2011-05-06,24.6300,24.6300,24.1700,24.2700,20.4371,26000
2011-05-09,24.2700,24.2700,24.2700,24.2700,20.4371,0
2011-05-10,24.6900,24.7800,24.6900,24.7800,20.8666,1300
2011-05-11,24.6500,24.6500,24.2300,24.2700,20.4371,2700
2011-05-12,24.1800,24.4100,24.1800,24.3800,20.5298,1700
2011-05-13,24.3800,24.3800,24.3800,24.3800,20.5298,0
2011-05-16,24.1500,24.1500,24.1500,24.1500,20.3361,100
2011-05-17,24.1500,24.1500,24.1500,24.1500,20.3361,0
2011-05-18,23.8300,23.8300,23.8300,23.8300,20.0666,300
2011-05-19,23.8300,23.8300,23.8300,23.8300,20.0666,0
2011-05-20,24.1600,24.1600,24.1600,24.1600,20.3445,500
2011-05-23,23.4500,23.4700,23.4200,23.4200,19.7214,2300
2011-05-24,23.4200,23.4200,23.4200,23.4200,19.7214,0
2011-05-25,23.4200,23.4200,23.4200,23.4200,19.7214,0
2011-05-26,23.7500,23.9400,23.7500,23.9400,20.1593,900
2011-05-27,24.0700,24.1500,24.0700,24.0700,20.2687,400
2011-05-31,24.4100,24.4100,24.4100,24.4100,20.5550,200
2011-06-01,23.6200,23.6600,23.6200,23.6600,19.9235,200
2011-06-02,23.6100,23.6100,23.3500,23.3500,19.6624,300
2011-06-03,23.1800,23.1800,23.1800,23.1800,19.5193,500
2011-06-06,23.0000,23.0000,23.0000,23.0000,19.3677,100
2011-06-07,23.0000,23.0000,23.0000,23.0000,19.3677,0
2011-06-08,22.7500,22.7500,22.7200,22.7200,19.1319,300
2011-06-09,22.7200,22.7200,22.7200,22.7200,19.1319,0
2011-06-10,22.4600,22.4600,22.4600,22.4600,18.9130,1200
2011-06-13,22.1400,22.1400,22.1400,22.1400,18.6435,800
2011-06-14,22.3400,22.5500,22.3400,22.5500,18.9888,1400
2011-06-15,22.3600,22.3600,21.9900,21.9900,18.5172,1800
2011-06-16,21.9800,22.0900,21.9800,22.0900,18.6014,3300
2011-06-17,22.0600,22.1200,21.9000,21.9800,18.5356,26500
2011-06-20,21.9800,21.9800,21.9800,21.9800,18.5356,0
2011-06-21,21.9800,21.9800,21.9800,21.9800,18.5356,0
2011-06-22,22.7400,22.7400,22.4800,22.4900,18.9657,1100
2011-06-23,21.9900,22.4300,21.9900,22.4100,18.8982,2400
2011-06-24,22.4100,22.4100,22.1400,22.1400,18.6706,1700
2011-06-27,22.1500,22.2200,22.1500,22.2200,18.7380,1500
2011-06-28,22.4200,22.7700,22.4200,22.7500,19.1850,176500
2011-06-29,22.8400,23.1400,22.8400,23.0400,19.4295,68700
2011-06-30,23.1500,23.4100,23.1300,23.3300,19.6741,158500
2011-07-01,23.3800,23.7500,23.3800,23.7500,20.0283,353100
2011-07-05,23.7400,23.7400,23.5800,23.7200,20.0030,136300
2011-07-06,23.5300,23.5800,23.4400,23.5700,19.8765,12100
2011-07-07,23.9400,24.1300,23.9000,24.0900,20.3150,113400
2011-07-08,23.6500,23.7300,23.4800,23.7300,20.0114,11800
2011-07-11,23.3600,23.3600,22.9000,22.9000,19.3115,84600
2011-07-12,22.8700,23.0000,22.7900,22.7900,19.2187,6100
