date,open,high,low,close,adj_close,volume
2011-05-05,24.8800,24.9500,24.7300,24.7900,17.4436,42900
2011-05-06,25.0800,25.0800,24.8700,24.9200,17.5351,12500
2011-05-09,24.9000,24.9200,24.9000,24.9200,17.5351,600
2011-05-10,25.1900,25.2700,25.1900,25.2500,17.7673,9700
2011-05-11,25.2300,25.2400,25.0600,25.1100,17.6688,28900
2011-05-12,25.1600,25.4500,25.1500,25.4500,17.9081,8200
2011-05-13,25.4400,25.4400,25.2600,25.3400,17.8307,13100
2011-05-16,25.3700,25.3900,25.2800,25.2800,17.7885,10000
2011-05-17,25.2400,25.3600,25.2400,25.3600,17.8447,16900
2011-05-18,25.4600,25.4600,25.3200,25.3200,17.8166,2000
2011-05-19,25.5800,25.5800,25.4100,25.4300,17.8940,6800
2011-05-20,25.5500,25.5500,25.3500,25.4400,17.9010,15700
2011-05-23,25.2700,25.2700,25.1900,25.1900,17.7251,11000
2011-05-24,25.3400,25.3400,25.1600,25.2000,17.7322,10500
2011-05-25,25.1700,25.1700,24.9800,25.1500,17.6970,12700
2011-05-26,25.1200,25.1600,24.9900,25.1300,17.6829,9300
2011-05-27,25.2900,25.2900,25.1800,25.2300,17.7533,16600
2011-05-31,25.4300,25.4300,25.3100,25.4100,17.8799,4500
2011-06-01,25.4200,25.4200,25.1100,25.1100,17.6688,33400
2011-06-02,25.1700,25.1700,24.9500,24.9600,17.5633,6100
2011-06-03,24.7500,24.8400,24.6800,24.7200,17.3944,11000
2011-06-06,24.7700,24.7700,24.6000,24.6100,17.3170,9300
2011-06-07,24.7500,24.7600,24.6600,24.7200,17.3944,2800
2011-06-08,24.7000,24.7000,24.5600,24.6600,17.3522,900
2011-06-09,24.7300,24.8200,24.6200,24.7500,17.4155,595200
2011-06-10,24.7500,24.7500,24.5000,24.5000,17.2396,104900
2011-06-13,24.4100,24.6400,24.4100,24.5700,17.2889,19400
2011-06-14,24.7700,24.7900,24.6300,24.7300,17.4014,25200
2011-06-15,24.5500,24.5800,24.3000,24.3500,17.1917,25500
2011-06-16,24.4800,24.5200,24.3900,24.4800,17.2835,19600
2011-06-17,24.7600,24.7600,24.5700,24.6100,17.3753,44200
2011-06-20,24.6200,24.7800,24.6000,24.7500,17.4742,34600
2011-06-21,24.9200,24.9200,24.7700,24.8600,17.5518,29900
2011-06-22,24.8600,24.8600,24.7700,24.7800,17.4953,197600
2011-06-23,24.6400,24.6400,24.3600,24.4900,17.2906,99600
2011-06-24,24.6200,24.6800,24.4800,24.5200,17.3118,17100
2011-06-27,24.5700,24.6800,24.5400,24.6400,17.3965,63900
2011-06-28,24.7300,24.7800,24.7100,24.7800,17.4953,71900
2011-06-29,24.9400,24.9400,24.8000,24.9000,17.5801,630700
2011-06-30,25.0000,25.0400,24.8900,25.0300,17.6718,198100
2011-07-01,25.0900,25.3200,25.0400,25.3100,17.8695,245200
2011-07-05,25.3200,25.3300,25.1900,25.2100,17.7989,461300
2011-07-06,25.2100,25.3500,25.2100,25.3300,17.8837,261900
2011-07-07,25.5400,25.5400,25.4000,25.4400,17.9613,106800
2011-07-08,25.2400,25.3300,25.2400,25.3300,17.8837,34200
2011-07-11,25.1600,25.1600,25.0400,25.0700,17.7001,14100
2011-07-12,25.0300,25.2500,25.0300,25.1200,17.7354,19600
2011-07-13,25.1900,25.2700,25.0500,25.0500,17.6860,30800
2011-07-14,25.1800,25.2000,24.9500,24.9700,17.6295,68600
2011-07-15,24.9300,24.9300,24.8000,24.8000,17.5848,9500
2011-07-18,24.7000,24.7100,24.5800,24.6800,17.4997,2262700
2011-07-19,24.8100,24.9500,24.7600,24.9200,17.6699,538100
2011-07-20,24.9700,24.9900,24.8700,24.9100,17.6628,60200
2011-07-21,25.0900,25.2500,25.0300,25.2400,17.8968,105300
2011-07-22,25.2400,25.2400,25.0800,25.1100,17.8046,78300
2011-07-25,24.9600,25.0800,24.9500,25.0100,17.7337,16000
2011-07-26,25.0300,25.0300,24.9000,24.9000,17.6557,73800
2011-07-27,24.9200,24.9200,24.6300,24.6600,17.4855,637100
