date,open,high,low,close,adj_close,volume
2008-11-05,4.8117,4.8992,4.1767,4.2500,3.2721,229200
2008-11-06,4.1500,4.1975,3.5525,3.6000,2.7717,4332000
2008-11-07,3.7075,3.8875,3.6117,3.8542,2.9673,6978000
2008-11-10,4.1500,4.1617,3.5842,3.7042,2.8519,5785200
2008-11-11,3.5417,3.6875,3.2917,3.4592,2.6632,11479200
2008-11-12,3.3275,3.3275,3.0175,3.0742,2.3668,13312800
2008-11-13,3.0517,3.5333,2.5642,3.5183,2.7088,32067600
2008-11-14,3.2708,3.5833,3.0417,3.0675,2.3617,34303200
2008-11-17,2.9567,3.1708,2.8333,2.8508,2.1949,44524800
2008-11-18,2.8367,2.9950,2.5958,2.8767,2.2148,61130400
2008-11-19,2.8750,2.9708,2.3667,2.4133,1.8580,75193200
2008-11-20,2.3242,2.4975,1.8467,1.9967,1.5372,137044800
2008-11-21,2.2667,2.2700,1.8058,2.2225,1.7111,124576800
2008-11-24,2.3717,2.7975,2.3167,2.5975,1.9998,98185200
2008-11-25,2.8342,2.8458,2.5250,2.7425,2.1115,80054400
2008-11-26,2.5875,3.0450,2.5758,3.0283,2.3315,61237200
2008-11-28,2.9917,3.1250,2.9792,3.1183,2.4008,21645600
2008-12-01,2.8725,2.8817,2.2817,2.3083,1.7772,101854800
2008-12-02,2.4233,2.5733,2.3100,2.5525,1.9652,109262400
2008-12-03,2.3883,2.7867,2.3667,2.7442,2.1128,136166400
2008-12-04,2.6458,2.8258,2.4033,2.5250,1.9440,109459200
2008-12-05,2.4150,2.8167,2.2833,2.7817,2.1416,167187600
2008-12-08,3.0333,3.2067,2.9742,3.0917,2.3803,142784400
2008-12-09,3.0125,3.2042,2.8792,2.9175,2.2462,126266400
2008-12-10,3.0183,3.1192,2.8958,3.0092,2.3168,125726400
2008-12-11,2.9542,3.0975,2.7217,2.7867,2.1455,113610000
2008-12-12,2.5433,2.8850,2.5167,2.8608,2.2026,142026000
2008-12-15,2.9033,2.9167,2.6308,2.7383,2.1083,91215600
2008-12-16,2.8192,3.1575,2.8108,3.1558,2.4297,121978800
2008-12-17,3.0508,3.2292,2.9842,3.0750,2.3716,118600800
2008-12-18,3.1192,3.1408,2.7967,2.9050,2.2405,94359600
2008-12-19,2.9425,3.0758,2.8583,2.8992,2.2360,97183200
2008-12-22,2.9100,2.9167,2.6033,2.7667,2.1338,76341600
2008-12-23,2.7983,2.8358,2.6483,2.6792,2.0663,68952000
2008-12-24,2.7133,2.7367,2.6567,2.7108,2.0907,17952000
2008-12-26,2.7725,2.7783,2.7050,2.7675,2.1344,19194000
2008-12-29,2.7875,2.7875,2.6200,2.7500,2.1209,46562400
2008-12-30,2.7958,2.9358,2.7542,2.9325,2.2617,57126000
