date,open,high,low,close,adj_close,volume
2002-07-30,81.7500,81.9000,81.5200,81.5200,35.6919,6100
2002-07-31,81.9500,82.8000,81.9000,82.5300,36.1341,29400
2002-08-01,82.5400,83.0200,82.5400,83.0000,36.3399,25000
2002-08-02,83.1600,84.1000,82.8800,83.8500,36.7121,52800
2002-08-05,84.0400,84.4400,83.8500,84.2200,36.8741,61100
2002-08-06,83.8700,83.9000,83.2200,83.5000,36.5588,64900
2002-08-07,83.6000,84.1400,83.3600,83.7000,36.6464,40300
2002-08-08,83.5800,83.7700,83.3600,83.7000,36.6464,40900
2002-08-09,84.0000,84.8800,84.0000,84.8800,37.1630,35900
2002-08-12,85.3000,86.7000,85.1400,85.4000,37.3907,32100
2002-08-13,85.7800,86.4700,85.3700,86.4500,37.8504,75400
2002-08-14,87.4600,87.9000,86.7500,86.7800,37.9949,130000
2002-08-15,86.3800,86.5000,85.8500,86.0200,37.6621,87100
2002-08-16,86.4400,86.5200,84.8200,85.0600,37.2418,85000
2002-08-19,85.0500,85.3400,84.7100,85.3200,37.3556,47300
2002-08-20,85.6200,86.2900,85.6000,86.2700,37.7715,40800
2002-08-21,85.6800,86.1000,85.6300,85.8100,37.5702,40000
2002-08-22,85.5500,85.5500,85.0600,85.0600,37.2418,34400
2002-08-23,85.2000,85.9500,85.2000,85.9000,37.6096,20100
2002-08-26,85.7000,86.2100,85.6700,85.9800,37.6446,23900
2002-08-27,85.4000,85.6800,85.2000,85.4400,37.4082,301800
2002-08-28,86.0400,86.1800,85.8400,85.8700,37.5964,18100
2002-08-29,86.7600,86.8600,86.3500,86.5600,37.8985,135700
2002-08-30,86.7500,87.1300,86.4500,87.0800,38.1262,78100
2002-09-03,87.0800,88.0400,87.0000,88.0400,38.7124,102100
2002-09-04,88.0300,88.3000,87.8400,88.0200,38.7035,66300
2002-09-05,88.5700,88.6500,87.3800,88.5000,38.9146,648400
2002-09-06,87.9700,88.1900,87.2000,87.4600,38.4573,140000
2002-09-09,87.5000,87.8300,87.2600,87.3300,38.4002,83800
2002-09-10,87.1700,88.0000,87.0000,87.7500,38.5848,336000
2002-09-11,87.0000,87.3000,86.7500,87.2900,38.3826,177700
2002-09-12,87.4800,88.1400,87.4700,87.9700,38.6816,43400
2002-09-13,88.3300,88.9400,88.1800,88.7800,39.0378,155100
2002-09-16,89.2000,89.2200,88.9000,88.9300,39.1037,73000
2002-09-17,88.6400,89.3200,88.3600,89.1000,39.1785,75400
2002-09-18,89.1600,89.5600,89.0200,89.1200,39.1873,196600
2002-09-19,89.7000,89.7700,89.2600,89.7200,39.4511,109900
2002-09-20,89.4500,89.5200,89.0600,89.3000,39.2664,113500
2002-09-23,90.0000,90.2400,89.7700,90.1000,39.6182,163200
2002-09-24,90.3000,90.9400,90.2100,90.6800,39.8732,251900
