date,open,high,low,close,adj_close,volume
1998-12-22,25.8750,26.5312,25.8750,26.5000,13.8896,150300
1998-12-23,26.7969,28.7969,26.6875,27.1406,14.2254,44000
1998-12-24,27.1406,27.1406,27.0000,27.0938,14.2009,45500
1998-12-28,27.1406,27.1562,26.8125,26.9375,14.1190,25400
1998-12-29,26.9531,27.5625,25.9844,27.5312,14.4302,123500
1998-12-30,27.5312,27.6094,27.3125,27.3594,14.3401,10200
1998-12-31,27.2969,27.4219,27.0781,27.1562,14.2336,66300
1999-01-04,27.3750,27.5938,26.7344,26.9375,14.1190,50000
1999-01-05,27.0938,27.2812,27.0156,27.1406,14.2254,27900
1999-01-06,27.3281,27.4844,27.1562,27.4688,14.3974,118500
1999-01-07,27.2656,27.2656,26.9531,27.1562,14.2336,43500
1999-01-08,27.1562,27.1719,26.6250,27.0469,14.1763,63800
1999-01-11,26.9844,26.9844,26.3281,26.5000,13.8896,65400
1999-01-12,26.4844,26.5781,26.2500,26.2969,13.7832,29400
1999-01-13,25.5469,26.4844,25.5469,26.3438,13.8078,73800
1999-01-14,26.2344,26.3281,25.4844,25.8438,13.5457,30800
1999-01-15,26.0625,26.2188,25.8281,26.1250,13.6931,39000
1999-01-19,26.3281,26.3281,25.6562,25.8281,13.5375,39200
1999-01-20,25.9844,26.1875,25.7812,25.9062,13.5784,480500
1999-01-21,25.7969,25.9375,25.3594,25.5156,13.3737,42500
1999-01-22,25.3594,25.6719,25.2188,25.3906,13.3082,75700
1999-01-25,25.3906,25.4844,25.1094,25.3281,13.2754,179000
1999-01-26,25.3438,25.9219,25.2969,25.9219,13.5866,85000
1999-01-27,26.1719,26.4219,26.0938,26.2656,13.7668,50400
1999-01-28,26.2969,26.7969,26.2656,26.7344,14.0125,57300
1999-01-29,26.8125,26.9844,26.4375,26.7969,14.0453,167800
1999-02-01,26.9844,27.0781,26.6719,26.6875,13.9879,57200
1999-02-02,26.7812,26.9062,26.5312,26.9062,14.1026,81800
1999-02-03,26.7812,26.9062,26.5469,26.8125,14.0534,65300
1999-02-04,26.7031,26.9062,26.5625,26.6875,13.9879,34400
1999-02-05,26.6875,26.6875,26.2500,26.2812,13.7750,33000
1999-02-08,26.2188,26.3750,26.0156,26.2344,13.7504,83500
1999-02-09,26.1719,26.1719,25.7188,25.7656,13.5047,44500
1999-02-10,25.8906,25.9531,25.6250,25.9531,13.6030,32000
1999-02-11,26.0469,26.4062,25.9688,26.3906,13.8323,22400
1999-02-12,26.4375,26.5156,25.9844,26.1719,13.7177,29600
1999-02-16,26.5000,26.6719,26.4062,26.4844,13.8815,37700
1999-02-17,26.4688,26.7188,26.0312,26.2188,13.7422,26800
1999-02-18,26.3125,26.5781,26.2656,26.5000,13.8896,29400
1999-02-19,26.4531,26.6250,26.3438,26.3906,13.8323,30300
1999-02-22,26.5000,27.1250,26.4219,26.9531,14.1272,183700
1999-02-23,26.9844,27.1562,26.7812,26.9062,14.1026,35400
1999-02-24,27.0938,27.2656,26.5938,26.7500,14.0207,69000
1999-02-25,26.4844,26.6250,26.0781,26.4375,13.8569,28100
1999-02-26,26.3750,26.5938,26.2188,26.5156,13.8978,15100
1999-03-01,26.4219,26.5156,26.1562,26.3906,13.8323,17500
1999-03-02,26.5312,26.7031,26.2656,26.3125,13.7914,29700
1999-03-03,26.4219,26.4219,26.0469,26.3125,13.7914,32000
1999-03-04,26.3594,26.7188,26.2188,26.6719,13.9797,85300
1999-03-05,26.6875,27.2344,26.6875,27.0781,14.1927,49100
1999-03-08,27.1406,27.2031,26.8281,27.2031,14.2582,30700
1999-03-09,27.2344,27.3906,27.0000,27.2344,14.2746,23300
1999-03-10,27.1250,27.1250,26.8438,26.9375,14.1190,32600
1999-03-11,27.1406,27.3906,27.0156,27.2031,14.2582,55700
1999-03-12,27.4531,27.5781,27.2500,27.4375,14.3810,48100
1999-03-15,27.5938,27.8750,27.5000,27.6719,14.5039,246400
1999-03-16,27.7188,27.9531,27.7031,27.7969,14.5694,63700
1999-03-17,27.7812,27.7812,27.3125,27.3281,14.3237,40900
1999-03-18,27.2188,27.7969,27.2188,27.7969,14.5694,22300
1999-03-19,27.9219,27.9219,27.4062,27.6250,14.5049,174200
1999-03-22,27.4844,27.6250,27.2812,27.6094,14.4967,93400
1999-03-23,27.2969,27.4844,26.5156,26.8281,14.0865,91600
1999-03-24,26.5938,26.8594,26.5000,26.8125,14.0783,46700
1999-03-25,27.0625,27.1875,26.7656,27.0156,14.1849,46000
1999-03-26,26.7656,26.9844,26.7031,26.9219,14.1357,20400
1999-03-29,27.1875,27.4688,27.1875,27.2656,14.3162,18200
1999-03-30,26.7188,27.1406,26.7188,27.0312,14.1931,45800
1999-03-31,27.2344,27.2344,26.4062,26.4375,13.8814,45800
1999-04-01,26.7188,26.7188,26.3750,26.4844,13.9060,38500
1999-04-05,26.7500,26.7500,26.5312,26.6250,13.9798,32900
1999-04-06,26.4219,26.6250,26.1406,26.3281,13.8239,136600
1999-04-07,26.5469,26.5469,26.1406,26.2969,13.8075,77800
1999-04-08,26.3438,26.9688,26.3438,26.9062,14.1275,49100
1999-04-09,26.9688,27.1250,26.6406,26.9688,14.1603,61000
1999-04-12,27.0000,27.5469,27.0000,27.4219,14.3982,28400
1999-04-13,27.6250,27.6719,27.1875,27.5156,14.4475,70200
1999-04-14,27.5000,27.5000,26.5781,26.6875,14.0126,38700
1999-04-15,26.7656,26.7656,25.7500,26.0312,13.6681,292300
1999-04-16,26.1562,26.1562,25.8750,26.1406,13.7255,16800
1999-04-19,26.0156,26.1875,25.0000,25.0469,13.1512,71700
1999-04-20,25.3125,25.7344,25.1250,25.5156,13.3973,29400
1999-04-21,25.7500,26.5156,25.6094,26.3281,13.8239,92900
1999-04-22,26.3125,26.6562,26.2969,26.6562,13.9962,29700
1999-04-23,26.6719,26.7188,26.3906,26.6094,13.9716,16600
1999-04-26,26.6250,26.6250,26.2344,26.4219,13.8732,51800
1999-04-27,26.7188,26.7969,26.4531,26.4531,13.8896,39800
1999-04-28,26.2812,26.5625,25.5938,26.0625,13.6845,110200
1999-04-29,26.1094,26.1094,25.7500,25.8594,13.5778,27100
1999-04-30,25.9062,25.9688,25.3125,25.5156,13.3973,34700
1999-05-03,25.7500,26.1094,25.5938,26.1094,13.7091,46900
1999-05-04,26.2500,26.3125,25.7344,25.8906,13.5942,91200
1999-05-05,25.9375,26.1406,25.4844,26.1406,13.7255,23500
1999-05-06,26.2188,26.2500,25.7344,25.7969,13.5450,28100
1999-05-07,25.7969,26.2031,25.7500,26.0156,13.6599,31900
1999-05-10,26.0000,26.0000,25.5625,25.6094,13.4465,125400
1999-05-11,25.5312,26.0000,25.5312,25.7188,13.5040,59800
1999-05-12,25.7031,26.1875,25.6719,26.0938,13.7009,38300
1999-05-13,26.2500,26.3125,26.0000,26.2188,13.7665,173300
1999-05-14,25.7344,26.0312,25.5156,25.7500,13.5204,41600
1999-05-17,25.5469,25.9688,25.5000,25.9219,13.6106,36800
1999-05-18,25.9219,26.9688,25.3594,25.5781,13.4301,95500
1999-05-19,25.7031,25.9844,25.6250,25.9375,13.6188,59400
1999-05-20,25.8594,26.1719,25.8594,26.0000,13.6517,150600
1999-05-21,25.9531,26.1094,25.7344,25.9219,13.6106,78100
1999-05-24,25.7656,26.0469,25.2500,25.2500,13.2579,20100
1999-05-25,25.3281,25.5469,25.0000,25.0000,13.1266,33500
1999-05-26,25.2188,25.2500,24.8594,25.0000,13.1266,67600
1999-05-27,24.7812,25.2656,24.7656,24.8750,13.0610,24400
1999-05-28,25.1250,25.4062,25.0000,25.2500,13.2579,16500
1999-06-01,25.2969,25.3750,24.9531,25.3438,13.3071,36700
1999-06-02,25.0781,25.3281,24.9531,24.9531,13.1020,65200
1999-06-03,25.0000,25.4688,25.0000,25.1875,13.2250,40600
1999-06-04,25.1875,26.0625,25.1875,26.0625,13.6845,17400
1999-06-07,26.1094,26.1094,25.7656,25.8438,13.5696,28400
1999-06-08,25.5938,25.8281,25.3438,25.4844,13.3809,77100
1999-06-09,25.4531,25.6719,25.2500,25.3438,13.3071,18400
1999-06-10,25.0000,25.2344,24.8125,24.8750,13.0610,71200
1999-06-11,25.2500,25.3125,24.6250,24.6250,12.9297,20400
1999-06-14,24.6406,24.8438,24.5625,24.7031,12.9707,32300
1999-06-15,24.7500,25.0000,24.6719,24.7656,13.0035,25600
1999-06-16,25.0000,25.0312,24.7188,24.9531,13.1020,46300
1999-06-17,24.8750,25.3750,24.8750,25.1562,13.2086,26300
1999-06-18,25.0938,25.1562,24.8125,25.0469,13.2037,33600
1999-06-21,25.0156,25.0156,24.4844,24.7656,13.0554,35900
1999-06-22,24.7188,25.0000,24.7188,24.9062,13.1295,85400
1999-06-23,24.6094,24.8906,24.5156,24.6406,12.9895,17400
1999-06-24,24.5469,24.9062,24.5000,24.5625,12.9483,23000
1999-06-25,24.9375,25.0000,24.4062,24.5469,12.9401,149300
1999-06-28,24.8438,25.8594,24.5156,24.5625,12.9483,21200
1999-06-29,24.6250,25.2188,24.5156,25.0000,13.1790,46400
1999-06-30,25.2188,25.6250,24.8281,25.5938,13.4920,51000
1999-07-01,25.6719,25.9688,25.5781,25.7812,13.5908,38400
1999-07-02,25.8281,26.0000,25.7188,25.8750,13.6402,48500
1999-07-06,25.9844,26.2344,25.7031,25.8594,13.6320,93000
1999-07-07,25.9062,25.9219,25.6875,25.7500,13.5743,17800
1999-07-08,25.4844,25.9844,25.4844,25.5469,13.4673,34800
1999-07-09,25.9062,25.9062,25.6250,25.6719,13.5332,31900
1999-07-12,25.7188,25.7500,25.5469,25.6250,13.5084,14300
1999-07-13,25.5469,26.0000,25.4688,25.7188,13.5579,22600
1999-07-14,25.7500,25.8906,25.5469,25.6406,13.5167,19100
1999-07-15,25.8281,26.2188,25.8281,25.9219,13.6649,28000
1999-07-16,26.2031,26.2031,25.8281,25.8750,13.6402,23700
1999-07-19,26.2500,26.2500,25.5938,25.6562,13.5249,33100
1999-07-20,25.9844,25.9844,25.3281,25.4375,13.4096,35900
1999-07-21,25.6250,25.7188,25.3438,25.5469,13.4673,23700
1999-07-22,25.5469,25.6562,25.1250,25.2656,13.3190,24900
1999-07-23,25.2188,25.4688,25.0625,25.0781,13.2202,37200
1999-07-26,25.1562,25.3125,25.0156,25.3125,13.3437,82300
1999-07-27,25.4219,25.5625,25.0938,25.3906,13.3849,38000
1999-07-28,25.2344,25.3125,25.0312,25.1562,13.2613,20600
1999-07-29,25.0000,25.0000,24.5469,24.7812,13.0637,115300
1999-07-30,24.7812,24.9375,24.6250,24.6406,12.9895,48700
1999-08-02,24.6719,24.9688,24.6406,24.6406,12.9895,29600
1999-08-03,24.8906,24.9531,24.5625,24.8281,13.0884,56300
1999-08-04,24.9844,24.9844,24.1875,24.3750,12.8495,57400
1999-08-05,24.3750,24.5000,23.8594,24.4375,12.8824,85300
1999-08-06,24.2812,24.2812,23.7969,24.0312,12.6683,18800
1999-08-09,24.1250,24.1875,23.8906,23.9688,12.6353,7400
1999-08-10,24.0781,24.0781,23.6250,23.8906,12.5942,29200
1999-08-11,23.9688,23.9844,23.5625,23.6406,12.4624,38200
1999-08-12,23.7344,24.2969,23.7344,24.0781,12.6930,27300
1999-08-13,24.3125,24.4375,24.1094,24.2500,12.7836,26200
1999-08-16,24.1875,24.5000,24.1719,24.3906,12.8577,37700
1999-08-17,24.5312,24.5625,24.2344,24.5156,12.9236,24700
1999-08-18,24.5156,24.6094,24.1719,24.1719,12.7424,33500
1999-08-19,24.0156,24.3906,24.0156,24.3281,12.8248,15000
1999-08-20,24.2656,24.8750,24.2188,24.8125,13.0801,89300
1999-08-23,25.0000,25.3750,25.0000,25.3594,13.3684,56100
1999-08-24,25.0938,25.4375,25.0938,25.2500,13.3108,52800
1999-08-25,25.4531,26.0000,25.3594,26.0000,13.7061,61900
1999-08-26,25.8281,26.0469,25.5781,25.5781,13.4837,23800
1999-08-27,25.6562,25.8281,25.2344,25.2500,13.3108,66000
1999-08-30,25.3750,25.5000,25.1250,25.2812,13.3272,35700
1999-08-31,25.0469,25.3750,24.8906,25.0625,13.2119,14100
1999-09-01,24.9844,25.1719,24.8281,24.9688,13.1625,19800
1999-09-02,24.9688,25.0156,24.6250,24.9375,13.1460,30000
1999-09-03,25.3281,25.5000,25.2031,25.3750,13.3767,136200
1999-09-07,25.4844,25.5000,25.0469,25.1875,13.2778,225600
1999-09-08,25.0469,25.3438,24.9219,25.2031,13.2861,63400
1999-09-09,24.8750,25.0312,24.7188,24.8438,13.0966,80300
1999-09-10,24.9375,25.1250,24.7500,24.8750,13.1131,32500
1999-09-13,24.8750,24.8750,24.6250,24.8438,13.0966,22200
1999-09-14,24.6719,24.6719,24.3281,24.4375,12.8824,18400
1999-09-15,24.4844,24.8438,24.2500,24.2500,12.7836,53700
1999-09-16,24.4219,24.4219,24.0000,24.3125,12.8166,44700
1999-09-17,24.3750,24.5781,24.2344,24.2969,12.8374,28100
1999-09-20,24.5312,24.5625,24.2656,24.3906,12.8869,17200
1999-09-21,24.1094,24.2188,23.7344,23.9688,12.6640,30400
1999-09-22,23.9688,24.1094,23.5938,23.9531,12.6557,28000
1999-09-23,23.9062,23.9062,23.2500,23.3906,12.3585,43400
1999-09-24,23.3281,23.4062,23.0000,23.2656,12.2925,41800
1999-09-27,23.3125,23.5000,23.1875,23.1875,12.2512,30600
1999-09-28,23.2656,23.2656,22.5312,22.8438,12.0696,117900
1999-09-29,22.5938,22.9688,22.2500,22.2500,11.7559,95200
1999-09-30,22.7031,23.0000,22.5469,22.7500,12.0201,25000
1999-10-01,22.8125,23.2500,22.6719,23.1250,12.2182,67800
1999-10-04,23.3750,23.4844,23.2344,23.3906,12.3585,38300
1999-10-05,23.2344,23.5312,23.0312,23.1094,12.2099,49200
1999-10-06,23.5625,24.0156,23.3750,24.0156,12.6888,36500
1999-10-07,23.8125,24.1875,23.7344,23.8281,12.5897,43400
1999-10-08,24.1250,24.7188,24.0156,24.4688,12.9282,32600
1999-10-11,24.7031,24.7031,24.4062,24.5000,12.9447,49000
1999-10-12,24.4375,24.4375,24.0000,24.0312,12.6970,98600
1999-10-13,24.1250,24.1406,23.5469,23.5625,12.4493,19500
1999-10-14,23.4219,23.7188,23.2656,23.6250,12.4824,47100
1999-10-15,23.3281,23.3281,22.7500,22.7656,12.0283,68300
1999-10-18,22.9844,23.3125,22.8594,23.1875,12.2512,15900
1999-10-19,23.8281,24.2188,23.6562,24.1719,12.7713,88300
1999-10-20,24.2031,24.3594,23.9219,24.2656,12.8208,186500
1999-10-21,24.1250,24.4375,24.0625,24.4375,12.9117,37800
1999-10-22,24.7812,24.7812,24.4062,24.5938,12.9942,57100
1999-10-25,24.1094,24.6406,24.0469,24.3125,12.8456,109900
1999-10-26,24.2500,24.4375,23.7812,24.0000,12.6805,20100
1999-10-27,23.8594,24.2969,23.7656,24.2969,12.8374,64900
1999-10-28,24.3750,24.9219,24.3750,24.7344,13.0685,125200
1999-10-29,24.9844,25.2812,24.8281,24.8281,13.1180,154600
1999-11-01,25.0625,25.1875,24.7812,24.8750,13.1428,116900
1999-11-02,24.6406,25.0781,24.3906,24.3906,12.8869,276500
1999-11-03,24.6562,25.0156,24.6562,25.0156,13.2171,92300
1999-11-04,25.3125,25.3125,24.7969,24.9062,13.1593,36700
1999-11-05,25.1562,25.2344,24.9062,25.0938,13.2584,55900
1999-11-08,24.9062,25.0625,24.8125,25.0625,13.2419,22300
1999-11-09,25.1719,25.1719,24.5156,24.6250,13.0107,37900
1999-11-10,24.4219,24.7500,24.4219,24.6406,13.0190,33400
1999-11-11,24.6406,24.8906,24.5469,24.6406,13.0190,26600
