date,open,high,low,close,adj_close,volume
1998-12-22,24.8125,25.0625,24.8125,25.0312,16.7162,5700
1998-12-23,25.1875,25.5938,25.1875,25.5938,17.0918,18100
1998-12-24,25.6250,25.7500,25.5156,25.7500,17.1961,4900
1998-12-28,25.6719,25.7500,25.3750,25.3750,16.9457,15500
1998-12-29,25.3750,25.9375,25.3750,25.9375,17.3214,5300
1998-12-30,26.0000,26.0312,25.7188,25.7188,17.1753,17300
1998-12-31,25.8125,26.0000,25.7500,26.0000,17.3631,6600
1999-01-04,26.2500,26.3750,25.7812,25.9375,17.3214,249200
1999-01-05,26.0000,26.3438,26.0000,26.3438,17.5926,4400
1999-01-06,26.5312,26.7812,26.4688,26.7812,17.8848,38500
1999-01-07,26.5312,26.6875,26.3438,26.6562,17.8013,15900
1999-01-08,26.7188,26.9844,26.7188,26.9844,18.0205,24400
1999-01-11,26.9688,27.2500,26.8125,27.0469,18.0622,7700
1999-01-12,27.1250,27.2500,26.9062,26.9375,17.9892,270700
1999-01-13,25.7812,26.8750,25.7812,26.6875,17.8222,7100
1999-01-14,26.7812,26.8594,26.3750,26.4688,17.6761,12200
1999-01-15,26.5625,26.9062,26.5625,26.8281,17.9161,7700
1999-01-19,27.2812,27.6562,27.1250,27.5938,18.4274,22700
1999-01-20,27.7500,28.1250,27.5938,27.7500,18.5318,25800
1999-01-21,27.6875,27.6875,26.7188,26.7812,17.8848,23200
1999-01-22,26.5938,26.8750,26.4062,26.6719,17.8118,67100
1999-01-25,26.6875,26.9062,26.6875,26.8906,17.9579,495300
1999-01-26,26.9375,27.0312,26.6719,27.0156,18.0413,187400
1999-01-27,27.0938,27.0938,26.7500,26.7500,17.8639,6800
1999-01-28,27.0000,27.3438,27.0000,27.2500,18.1978,25800
1999-01-29,27.2812,27.2812,26.9062,27.2500,18.1978,13800
1999-02-01,27.3750,27.4688,27.1562,27.4062,18.3022,34000
1999-02-02,26.9688,27.0469,26.6250,27.0000,18.0309,141700
1999-02-03,26.9375,27.5156,26.9375,27.5156,18.3752,38900
1999-02-04,27.3438,27.4375,27.1250,27.3125,18.2396,7400
1999-02-05,27.3125,27.3125,26.8125,27.0000,18.0309,16900
1999-02-08,27.1250,27.1250,26.8750,26.9844,18.0205,6500
1999-02-09,27.0625,27.0938,26.5000,26.5000,17.6970,220800
1999-02-10,26.3125,26.5625,26.1875,26.5625,17.7387,17800
1999-02-11,26.4688,27.2812,26.3750,27.2812,18.2187,5300
1999-02-12,27.1250,27.1250,26.7188,26.8750,17.9474,8400
1999-02-16,27.0000,27.3125,27.0000,27.1250,18.1144,18500
1999-02-17,27.0625,27.2500,26.8125,26.8438,17.9266,12900
1999-02-18,26.9375,27.2031,26.7656,27.1875,18.1561,11500
1999-02-19,27.1875,27.3750,27.1875,27.2656,18.2083,13900
1999-02-22,27.3750,27.8594,27.3125,27.8438,18.5944,17800
1999-02-23,27.9062,27.9062,27.5000,27.7969,18.5631,15000
1999-02-24,27.8750,27.9844,27.4688,27.4688,18.3439,28000
1999-02-25,27.3438,27.3438,26.8750,27.2031,18.1665,98900
1999-02-26,27.3125,27.3594,26.8906,27.2812,18.2187,10800
1999-03-01,27.2188,27.2500,26.9062,27.2344,18.1874,8800
1999-03-02,27.4062,27.6406,27.0469,27.2188,18.1770,11500
1999-03-03,27.3125,27.3125,27.0000,27.0469,18.0622,13100
1999-03-04,27.4375,27.5312,27.2344,27.5312,18.3857,10400
1999-03-05,27.9375,28.2188,27.8438,28.1562,18.8031,25400
1999-03-08,28.0938,28.1875,27.9375,28.1875,18.8239,62700
1999-03-09,27.8438,28.2500,27.8125,27.9688,18.6778,12200
1999-03-10,27.9375,28.2188,27.7812,28.2188,18.8448,10700
1999-03-11,28.2188,28.5625,28.2188,28.4062,18.9700,23600
1999-03-12,28.5312,28.6562,28.2500,28.2500,18.8657,24600
1999-03-15,28.4375,28.5469,28.2188,28.3438,18.9283,144800
1999-03-16,28.4375,28.4375,28.2344,28.2812,18.8865,9100
1999-03-17,28.1875,28.3594,28.0156,28.1250,18.7822,2700
1999-03-18,27.9688,28.5156,27.9688,28.5156,19.0430,9500
1999-03-19,28.5312,28.6562,28.2812,28.3906,18.9596,6900
1999-03-22,28.3125,28.5938,28.2812,28.3125,18.9074,40900
1999-03-23,28.2500,28.2500,27.4375,27.5312,18.3857,15400
1999-03-24,27.4688,27.6562,27.3438,27.6562,18.4691,12800
1999-03-25,27.9062,28.1250,27.7500,28.1250,18.7822,9700
1999-03-26,27.9219,28.0312,27.8438,27.9062,18.6361,6600
1999-03-29,27.9375,28.3281,27.9375,28.2500,18.8657,8100
1999-03-30,28.2188,28.3594,28.0938,28.1562,18.8031,37300
1999-03-31,28.2500,28.2500,28.0000,28.0000,18.6987,6300
1999-04-01,28.0000,28.0781,27.6562,28.0000,18.6987,22500
1999-04-05,28.4375,28.7500,28.4375,28.6250,19.1161,12400
1999-04-06,28.7500,28.8750,28.5625,28.6562,19.1369,14500
1999-04-07,28.8438,29.3438,28.8438,29.2031,19.5022,15700
1999-04-08,29.1250,29.5000,29.0938,29.5000,19.7004,29600
1999-04-09,29.5000,29.5938,29.2812,29.5938,19.7630,6600
1999-04-12,29.2812,30.3438,29.2812,30.3438,20.2639,87300
1999-04-13,30.4375,30.4688,30.0312,30.0312,20.0552,23600
1999-04-14,30.2500,30.3125,29.7500,29.7500,19.8674,96900
1999-04-15,29.8125,29.8125,28.7812,29.0000,19.3665,17800
1999-04-16,29.0000,29.0000,28.5312,28.7188,19.1787,10400
1999-04-19,28.9375,29.0938,27.8750,27.9375,18.6570,32700
1999-04-20,28.1250,28.4688,27.9062,28.4688,19.0117,15700
1999-04-21,28.4062,29.1250,28.4062,29.1250,19.4500,16000
1999-04-22,29.2500,29.8438,29.2500,29.7188,19.8465,20200
1999-04-23,29.9062,30.3906,29.9062,30.3906,20.2952,9800
1999-04-26,30.5312,30.5312,30.1875,30.3438,20.2639,36200
1999-04-27,30.5781,30.5938,30.0938,30.3750,20.2848,13900
1999-04-28,30.2500,30.2500,29.5625,29.5625,19.7422,25500
1999-04-29,29.6250,29.8125,29.0312,29.2188,19.5126,9800
1999-04-30,29.4375,29.5938,29.0000,29.0000,19.3665,5800
1999-05-03,29.3438,29.5938,29.2500,29.5625,19.7422,13000
1999-05-04,29.6875,29.6875,29.0000,29.0000,19.3665,23000
1999-05-05,29.0938,29.3125,28.8125,29.2500,19.5335,17100
1999-05-06,29.3750,29.5938,29.3125,29.3750,19.6169,17500
1999-05-07,29.6250,29.6250,29.1875,29.2812,19.5543,8000
1999-05-10,29.3125,29.5625,29.1562,29.2188,19.5126,27300
1999-05-11,29.5625,29.7500,29.5000,29.6875,19.8256,51000
1999-05-12,29.4688,30.0625,29.4062,29.9688,20.0135,8100
1999-05-13,30.0938,30.0938,29.7500,29.7812,19.8882,9600
1999-05-14,29.1250,29.3125,29.1250,29.2500,19.5335,4600
1999-05-17,28.9062,29.0625,28.6875,29.0625,19.4083,5800
1999-05-18,28.9375,29.2188,28.7500,28.7500,19.1996,8500
1999-05-19,28.9688,29.1875,28.9062,29.0938,19.4291,12100
1999-05-20,29.2500,29.6250,29.2500,29.4844,19.6900,15300
1999-05-21,29.3750,29.3750,29.0625,29.1562,19.4709,8400
1999-05-24,29.2188,29.2500,28.4688,28.4688,19.0117,14000
1999-05-25,28.5000,28.7500,28.1875,28.1875,18.8239,7200
1999-05-26,28.3750,28.3750,27.9688,28.2188,18.8448,9300
1999-05-27,28.1094,28.1094,27.7344,27.9062,18.6361,6600
1999-05-28,28.0000,28.1250,27.9531,28.1094,18.7717,6000
1999-06-01,27.9688,28.1875,27.8438,28.1875,18.8239,4400
1999-06-02,28.3438,28.3438,27.7812,28.0938,18.7613,9200
1999-06-03,28.2812,28.4375,28.2812,28.3125,18.9074,4900
1999-06-04,28.8750,29.0312,28.8125,29.0000,19.3665,1200
1999-06-07,28.7500,28.7500,28.5312,28.7500,19.1996,4200
1999-06-08,28.6250,28.7656,28.5156,28.5156,19.0430,6400
1999-06-09,28.5312,28.7500,28.4844,28.5312,19.0535,3000
1999-06-10,28.2188,28.2969,27.9375,28.2969,18.8970,13300
1999-06-11,28.4375,28.4688,27.9688,27.9688,18.6778,2500
1999-06-14,28.2500,28.2500,28.0625,28.1250,18.7822,12700
1999-06-15,28.3125,28.6875,28.3125,28.4375,18.9909,3600
1999-06-16,28.9375,29.0000,28.9062,29.0000,19.3665,13500
1999-06-17,29.0625,29.2656,28.9688,29.1406,19.4604,12300
1999-06-18,29.0000,29.1562,28.9375,29.0000,19.3665,6200
1999-06-21,29.0938,29.0938,28.8438,28.8594,19.2726,14100
1999-06-22,29.0938,29.0938,28.8125,28.8125,19.2413,3900
1999-06-23,28.7031,28.8750,28.4688,28.8750,19.2830,7900
1999-06-24,28.5625,28.6562,28.2031,28.3438,18.9283,14100
1999-06-25,28.6250,28.6250,28.3750,28.3750,18.9491,3000
1999-06-28,28.4375,28.6875,28.4062,28.6875,19.1578,3000
1999-06-29,28.7500,29.0312,28.6562,28.9688,19.3456,2100
1999-06-30,29.0312,29.4688,28.7500,29.3438,19.5961,22500
1999-07-01,29.2188,29.5000,29.1250,29.4375,19.6587,3900
1999-07-02,29.5312,29.5312,29.2188,29.4375,19.6587,17700
1999-07-06,29.1250,29.4062,29.1250,29.3750,19.6169,7100
1999-07-07,29.3750,29.5625,29.3438,29.5625,19.7422,3200
1999-07-08,29.3750,29.5781,29.3125,29.5000,19.7004,9600
1999-07-09,29.4062,29.6250,29.4062,29.6250,19.7839,17000
1999-07-12,29.6875,29.7812,29.5000,29.6875,19.8256,4700
1999-07-13,29.6250,29.7500,29.5625,29.6250,19.7839,5300
1999-07-14,29.7500,29.7500,29.4375,29.6875,19.8256,19700
1999-07-15,29.9062,29.9062,29.6562,29.8281,19.9195,12700
1999-07-16,29.8438,29.9375,29.6562,29.8438,19.9300,4900
1999-07-19,30.0312,30.0312,29.6875,29.7188,19.8465,7000
1999-07-20,29.6250,29.7812,29.5312,29.5938,19.7630,18900
1999-07-21,29.4375,29.6562,29.3750,29.5312,19.7213,16200
1999-07-22,29.3750,29.5000,29.0312,29.0625,19.4083,12100
1999-07-23,29.0000,29.1875,28.7500,28.8125,19.2413,27300
1999-07-26,28.5625,28.9688,28.5625,28.8438,19.2622,17400
1999-07-27,29.2812,29.4688,29.0312,29.3750,19.6169,16300
1999-07-28,29.2812,29.3438,29.0938,29.1562,19.4709,7400
1999-07-29,28.8438,28.8750,28.5625,28.6562,19.1369,10500
1999-07-30,28.6875,28.8438,28.4688,28.4688,19.0117,2800
